frame,x,y,z,hand
0,0.3679797947406769,0.4529685378074646,1.0595809385449684e-07,Left
0,0.3811871409416199,0.4337492883205414,-0.005968152545392513,Left
0,0.3863052725791931,0.4141569137573242,-0.007914327085018158,Left
0,0.38859397172927856,0.3997885286808014,-0.01005030982196331,Left
0,0.38991591334342957,0.3852384686470032,-0.012480675242841244,Left
0,0.37123578786849976,0.39426490664482117,6.75994306220673e-05,Left
0,0.37062668800354004,0.3749235272407532,-0.0049880677834153175,Left
0,0.3710811138153076,0.3623855710029602,-0.011053572408854961,Left
0,0.3722178637981415,0.3520853519439697,-0.015710165724158287,Left
0,0.3637585937976837,0.3973972499370575,-0.0009146807715296745,Left
0,0.3611280620098114,0.375646710395813,-0.007340392097830772,Left
0,0.361055850982666,0.36216863989830017,-0.01581594906747341,Left
0,0.36211004853248596,0.35250213742256165,-0.02194703184068203,Left
0,0.3566091060638428,0.4028659760951996,-0.003234857227653265,Left
0,0.3531145453453064,0.38207969069480896,-0.010428555309772491,Left
0,0.3526909053325653,0.36896970868110657,-0.0190061517059803,Left
0,0.3537133038043976,0.3598588705062866,-0.024555744603276253,Left
0,0.34999221563339233,0.40996643900871277,-0.006059800274670124,Left
0,0.3459421694278717,0.3941706717014313,-0.01293512899428606,Left
0,0.3452596068382263,0.38450613617897034,-0.019070278853178024,Left
0,0.34605467319488525,0.37542152404785156,-0.02351435460150242,Left
1,0.369547963142395,0.45067378878593445,1.54794619788845e-07,Left
1,0.38202017545700073,0.4301343858242035,-0.007421704940497875,Left
1,0.38745129108428955,0.4123211205005646,-0.010728701017796993,Left
1,0.38951584696769714,0.39893200993537903,-0.014201728627085686,Left
1,0.39018306136131287,0.38251185417175293,-0.01819203421473503,Left
1,0.37178367376327515,0.39466723799705505,-0.0018144224304705858,Left
1,0.37133726477622986,0.3731326758861542,-0.007161540910601616,Left
1,0.3719705641269684,0.35979965329170227,-0.013422180898487568,Left
1,0.3730016350746155,0.34874239563941956,-0.018378308042883873,Left
1,0.36431974172592163,0.3981865346431732,-0.002839420922100544,Left
1,0.36205679178237915,0.375371515750885,-0.009477964602410793,Left
1,0.3620617091655731,0.35984694957733154,-0.018371110782027245,Left
1,0.36299705505371094,0.3483313322067261,-0.025144193321466446,Left
1,0.3572275638580322,0.40420833230018616,-0.005299243610352278,Left
1,0.35364994406700134,0.3817030191421509,-0.012513363733887672,Left
1,0.3531297743320465,0.3661240041255951,-0.021286597475409508,Left
1,0.35402044653892517,0.3547760546207428,-0.027388498187065125,Left
1,0.3505276143550873,0.41192829608917236,-0.008412724360823631,Left
1,0.3462640047073364,0.39479905366897583,-0.01538044773042202,Left
1,0.3452383577823639,0.3826422095298767,-0.02169799990952015,Left
1,0.3459271490573883,0.3716166913509369,-0.026572873815894127,Left
2,0.3695472478866577,0.4479881227016449,1.6396654700656654e-07,Left
2,0.382477343082428,0.42783597111701965,-0.008025565184652805,Left
2,0.38828417658805847,0.41037052869796753,-0.011822577565908432,Left
2,0.3906315267086029,0.39725691080093384,-0.015597832389175892,Left
2,0.39113715291023254,0.38103950023651123,-0.019866373389959335,Left
2,0.3724714517593384,0.3933117389678955,-0.0032096835784614086,Left
2,0.37166890501976013,0.3716525435447693,-0.008704997599124908,Left
2,0.37239712476730347,0.358059287071228,-0.014851699583232403,Left
2,0.3734278976917267,0.34686964750289917,-0.019618304446339607,Left
2,0.36497029662132263,0.39668840169906616,-0.003847033716738224,Left
2,0.36251652240753174,0.37401434779167175,-0.010312413796782494,Left
2,0.3624279797077179,0.3581428825855255,-0.018765365704894066,Left
2,0.3631180226802826,0.34596970677375793,-0.025247659534215927,Left
2,0.35788241028785706,0.4022268056869507,-0.005914896726608276,Left
2,0.3545020818710327,0.3801240622997284,-0.012897934764623642,Left
2,0.35400938987731934,0.36430925130844116,-0.02124643698334694,Left
2,0.3546745777130127,0.35226771235466003,-0.0270732119679451,Left
2,0.3510827124118805,0.40899208188056946,-0.00869295559823513,Left
2,0.34701019525527954,0.39184921979904175,-0.015394752845168114,Left
2,0.34589913487434387,0.37989258766174316,-0.021385932341217995,Left
2,0.3461668789386749,0.36889925599098206,-0.026012655347585678,Left
3,0.36990228295326233,0.44559919834136963,1.699685867606604e-07,Left
3,0.38282230496406555,0.4261881709098816,-0.00853209663182497,Left
3,0.38853809237480164,0.4084114730358124,-0.012533897534012794,Left
3,0.39064306020736694,0.395079106092453,-0.0164669007062912,Left
3,0.39130476117134094,0.37790051102638245,-0.020871927961707115,Left
3,0.3726932108402252,0.38995450735092163,-0.002996899653226137,Left
3,0.372260719537735,0.36851924657821655,-0.00858422089368105,Left
3,0.37301477789878845,0.3552420437335968,-0.014976046979427338,Left
3,0.3741094470024109,0.34437429904937744,-0.019926846027374268,Left
3,0.3650865852832794,0.3934915065765381,-0.0034858868457376957,Left
3,0.36290600895881653,0.37089088559150696,-0.010068962350487709,Left
3,0.3626660704612732,0.3555145263671875,-0.01883399672806263,Left
3,0.36342084407806396,0.34377676248550415,-0.02551329880952835,Left
3,0.3579083979129791,0.39944854378700256,-0.005488416645675898,Left
3,0.35462599992752075,0.37721163034439087,-0.012463629245758057,Left
3,0.35397669672966003,0.36138859391212463,-0.021011020988225937,Left
3,0.3546398878097534,0.3494168221950531,-0.0270087867975235,Left
3,0.3511594533920288,0.4069119393825531,-0.008258679881691933,Left
3,0.34722357988357544,0.38967883586883545,-0.014901417307555676,Left
3,0.3461180329322815,0.3774643838405609,-0.020972609519958496,Left
3,0.34653449058532715,0.36616188287734985,-0.025696851313114166,Left
4,0.37091967463493347,0.43962645530700684,1.6624474596937944e-07,Left
4,0.3830564618110657,0.4191645383834839,-0.008131049573421478,Left
4,0.38847294449806213,0.40128833055496216,-0.012004089541733265,Left
4,0.3903982937335968,0.3881690204143524,-0.01573272794485092,Left
4,0.39118272066116333,0.37144735455513,-0.019912870600819588,Left
4,0.37256190180778503,0.3842419981956482,-0.0037449835799634457,Left
4,0.37139585614204407,0.3626415431499481,-0.009271290153265,Left
4,0.37186399102211,0.3491356074810028,-0.015352686867117882,Left
4,0.37258458137512207,0.33814737200737,-0.020067865028977394,Left
4,0.3651810586452484,0.38807520270347595,-0.004289234988391399,Left
4,0.36255452036857605,0.36563166975975037,-0.011012371629476547,Left
4,0.3624729812145233,0.350181519985199,-0.019568998366594315,Left
4,0.36316823959350586,0.33832937479019165,-0.026030614972114563,Left
4,0.3583976924419403,0.3944189250469208,-0.006199486553668976,Left
4,0.3545743525028229,0.37230992317199707,-0.01344799343496561,Left
4,0.35371673107147217,0.35628101229667664,-0.021954191848635674,Left
4,0.354068398475647,0.3441659212112427,-0.027829179540276527,Left
4,0.3519671559333801,0.4019894301891327,-0.0087718665599823,Left
4,0.3474021255970001,0.3847728669643402,-0.01567026600241661,Left
4,0.34611737728118896,0.37238404154777527,-0.021767349913716316,Left
4,0.3464595377445221,0.36096131801605225,-0.026421112939715385,Left
5,0.37288177013397217,0.43384408950805664,1.7045812228388968e-07,Left
5,0.38451066613197327,0.4123988747596741,-0.00826865155249834,Left
5,0.3894386887550354,0.39502325654029846,-0.012723689898848534,Left
5,0.39078307151794434,0.3816506862640381,-0.01697787083685398,Left
5,0.39119964838027954,0.3640943765640259,-0.021707601845264435,Left
5,0.37336769700050354,0.37849098443984985,-0.005140927154570818,Left
5,0.3713846504688263,0.35678061842918396,-0.010971065610647202,Left
5,0.3715898394584656,0.3430038392543793,-0.01684623584151268,Left
5,0.37225142121315,0.33189207315444946,-0.021311098709702492,Left
5,0.3660224676132202,0.3826257884502411,-0.005648396443575621,Left
5,0.36291372776031494,0.3601703345775604,-0.012506989762187004,Left
5,0.3626190721988678,0.34427347779273987,-0.020453015342354774,Left
5,0.36335161328315735,0.33217671513557434,-0.026436852291226387,Left
5,0.3593307137489319,0.3891308903694153,-0.007484670728445053,Left
5,0.35529255867004395,0.36703482270240784,-0.014737819321453571,Left
5,0.35434964299201965,0.3508349061012268,-0.022599348798394203,Left
5,0.35481396317481995,0.33842217922210693,-0.02803857997059822,Left
5,0.3529987335205078,0.3968844711780548,-0.009991335682570934,Left
5,0.34841597080230713,0.3799930512905121,-0.016935719177126884,Left
5,0.34695175290107727,0.3675615191459656,-0.022772865369915962,Left
5,0.3470553457736969,0.35592368245124817,-0.027189649641513824,Left
6,0.47725844383239746,0.41247403621673584,-2.8317309386238776e-08,Right
6,0.4768243134021759,0.39155858755111694,0.0026940691750496626,Right
6,0.4749353229999542,0.3692381978034973,0.0018674219027161598,Right
6,0.47299301624298096,0.35151633620262146,0.00038842461071908474,Right
6,0.47014614939689636,0.33945930004119873,-0.001649756683036685,Right
6,0.47768738865852356,0.35956716537475586,-0.004680211655795574,Right
6,0.4706370234489441,0.3298352062702179,-0.009006877429783344,Right
6,0.464445561170578,0.31440407037734985,-0.011478984728455544,Right
6,0.4591578245162964,0.30228662490844727,-0.013024674728512764,Right
6,0.477274090051651,0.3633817732334137,-0.008608903735876083,Right
6,0.46878838539123535,0.32840514183044434,-0.012607540003955364,Right
6,0.4616938829421997,0.31168925762176514,-0.014389614574611187,Right
6,0.4560874402523041,0.29911643266677856,-0.015797408297657967,Right
6,0.47406837344169617,0.3698742389678955,-0.012143157422542572,Right
6,0.4660155475139618,0.33620837330818176,-0.015326465480029583,Right
6,0.45958155393600464,0.31896957755088806,-0.01695721596479416,Right
6,0.4547136425971985,0.3059171140193939,-0.018353821709752083,Right
6,0.46883857250213623,0.37792128324508667,-0.015272614546120167,Right
6,0.4627428650856018,0.35513073205947876,-0.01807146705687046,Right
6,0.45849624276161194,0.34114745259284973,-0.01922115683555603,Right
6,0.45484060049057007,0.3289349377155304,-0.020199282094836235,Right
6,0.37763917446136475,0.42785823345184326,1.0313465281797107e-07,Left
6,0.3860616087913513,0.4116821885108948,-0.0038326180074363947,Left
6,0.39095044136047363,0.39082667231559753,-0.005406346172094345,Left
6,0.3925240933895111,0.3742401897907257,-0.00674996804445982,Left
6,0.3929508626461029,0.36057162284851074,-0.008064448833465576,Left
6,0.37571319937705994,0.37080955505371094,-0.0021672756411135197,Left
6,0.3735906481742859,0.3503229022026062,-0.00539824552834034,Left
6,0.37332814931869507,0.3378964960575104,-0.008341473527252674,Left
6,0.3734033703804016,0.3271671533584595,-0.010252520442008972,Left
6,0.3682679235935211,0.373545378446579,-0.0025477714370936155,Left
6,0.36530402302742004,0.3514513671398163,-0.0050516617484390736,Left
6,0.36490073800086975,0.3370070159435272,-0.007571551017463207,Left
6,0.3649119734764099,0.3242979943752289,-0.009325329214334488,Left
6,0.3616858720779419,0.38016143441200256,-0.003598905634135008,Left
6,0.3574652373790741,0.3585066497325897,-0.006343461573123932,Left
6,0.3560373783111572,0.34364354610443115,-0.008518567308783531,Left
6,0.3555503785610199,0.3305572271347046,-0.009892148897051811,Left
